end_point,begin_year,end_year,scraper_type,whitelisted,name,state,country,govt_level,meeting_bodies
http://ab-slavelake.civicplus.com/AgendaCenter,2015,2020,civicplus,TRUE,Slavelake,AB,CANADA,Municipality,"['Municipal Planning Commission', 'Town Council']"
http://ab-stettlercounty.civicplus.com/AgendaCenter,2011,2020,civicplus,TRUE,Stettler County,AB,CANADA,County,"['Agriculture Service Board', 'County Council', 'Municipal Planning Commission', 'Subdivision and Development Appeal Board']"
http://al-alabaster.civicplus.com/AgendaCenter,2013,2020,civicplus,TRUE,Alabaster,AL,USA,Municipality,"['City Council', 'CivicPlus Support Test', 'Planning and Zoning Commission']"
http://al-athens.civicplus.com/AgendaCenter,2016,2020,civicplus,TRUE,Athens,AL,USA,Municipality,"['City Council', 'Historic Commission', 'Planning Commission', 'Zoning Board of Adjustments']"
http://al-boaz.civicplus.com/AgendaCenter,2017,2020,civicplus,TRUE,Boaz,AL,USA,Municipality,['City Council']
http://al-calera.civicplus.com/AgendaCenter,2018,2020,civicplus,TRUE,Calera,AL,USA,Municipality,"['City Council', 'Planning and Zoning']"
http://al-coffeecounty.civicplus.com/AgendaCenter,2017,2017,civicplus,TRUE,Coffee County,AL,USA,County,['Coffee County Commission']
http://al-daphne.civicplus.com/AgendaCenter,2005,2020,civicplus,TRUE,Daphne,AL,USA,Municipality,"['Board of Zoning Adjustments (BZA)', 'City Council Meetings', 'City Council Work Sessions', 'Planning Commission']"
http://al-dothan.civicplus.com/AgendaCenter,2012,2020,civicplus,TRUE,Dothan,AL,USA,Municipality,['City Commission Agendas and Minutes']
http://al-gadsden.civicplus.com/AgendaCenter,2012,2020,civicplus,TRUE,Gadsden,AL,USA,Municipality,"['City Council Agendas & Minutes', 'ity of Gadsden']"
http://al-gulfshores.civicplus.com/AgendaCenter,2012,2020,civicplus,TRUE,Gulfshores,AL,USA,Municipality,"['City Council', 'Beautification Board', 'Board of Education', 'Gulf Shores Finance Committee', 'Planning Commission', 'Zoning Board of Adjustment']"
http://al-hoover.civicplus.com/AgendaCenter,2012,2020,civicplus,TRUE,Hoover,AL,USA,Municipality,"['Board of Zoning Adjustment', 'City Council', 'Planning & Zoning']"
http://al-jacksoncounty.civicplus.com/AgendaCenter,2019,2020,civicplus,TRUE,Jackson County,AL,USA,County,['County Commission Agendas']
http://al-opelika.civicplus.com/AgendaCenter,2015,2020,civicplus,TRUE,Opelika,AL,USA,Municipality,"['Library Board', 'Planning Commission', 'Zoning Board of Adjustment']"
http://al-shelbycounty.civicplus.com/AgendaCenter,2014,2020,civicplus,TRUE,Shelby County,AL,USA,County,"['County Commission', 'Planning Commission']"
http://al-stclaircounty.civicplus.com/AgendaCenter,2012,2020,civicplus,TRUE,St. Clair County,AL,USA,County,"['County Commission', 'St. Clair County Fire & EMS Association']"
http://ar-bentonville.civicplus.com/AgendaCenter,2014,2020,civicplus,TRUE,Bentonville,AR,USA,Municipality,"['City Council', 'Airport Advisory Board', 'Board of Adjustments', 'Library Advisory Board', 'Parks & Recreation Advisory Board', 'Planning Commission', 'Public Art Advisory Committee', 'Traffic Safety and Signage Committee', 'Tree & Landscape Advisory Board']"
http://ar-bryant2.civicplus.com/AgendaCenter,2013,2020,civicplus,TRUE,Bryant,AR,USA,Municipality,"['City Council Meetings', 'Advertising and Promotion Commission', 'Development Review Committee Meetings', 'Parks Committee Meetings', 'Planning Commission Meetings', 'Water/Wastewater Committee Meetings']"
http://ar-clarksvillelwc.civicplus.com/AgendaCenter,2012,2020,civicplus,TRUE,Clarksville Connected Utilities,AR,USA,Other,['Clarksville Connected Utilities Commission Meetings']
http://ar-garlandcounty.civicplus.com/AgendaCenter,2018,2020,civicplus,TRUE,Garland County,AR,USA,County,"['Environmental Services/Public Works and Buildings Committee', 'Finance Committee', 'Human Resources', 'Information Technology', 'Ordinance Committee', 'Public Health, Welfare & Safety Committee', 'Public Hearings', 'Quorum Court', 'Special Joint Committee Meeting']"
http://ar-hotsprings.civicplus.com/AgendaCenter,2003,2020,civicplus,TRUE,Hot Springs,AR,USA,Municipality,"['Board of Directors', 'Board of Zoning Adjustments / Board of Adjustments and Appeals', 'Community Development Advisory Committee (CDAC)', 'Historic District Commission', 'Planning Commission']"
http://ar-jacksonville.civicplus.com/AgendaCenter,2010,2020,civicplus,TRUE,Jacksonville,AR,USA,Municipality,"['City Council', 'Planning Commission']"
http://ar-maumelle.civicplus.com/AgendaCenter,2014,2020,civicplus,TRUE,Maumelle,AR,USA,Municipality,"['City Council', 'Civil Service Commission', 'Planning Commission', 'Planning Commission Subcommittee Meeting', 'Tree Board']"
http://ar-nlrha.civicplus.com/AgendaCenter,2015,2018,civicplus,TRUE,North Little Rock Housing Authority,AR,USA,Other,['Board of Commissioners']
http://ar-rogers.civicplus.com/AgendaCenter,2013,2020,civicplus,TRUE,Rogers,AR,USA,Municipality,"['Airport Commission', 'Board of Adjustment', 'City Council', 'Civil Service Commission', 'Historic District Commission', 'Library Board of Trustees', 'Museum Commission', 'Parks & Recreation Commission', 'Planning Commission', 'Rogers Public Art Commission']"
http://ar-russellville.civicplus.com/AgendaCenter,2012,2020,civicplus,TRUE,Russellville,AR,USA,Municipality,"['Airport Commission', 'Board of Adjustment', 'City Council', 'Civil Service Commission', 'Oakland Cemetery Commission', 'Planning Commission', 'Recreation & Parks Commission', 'Russellville Historic District Commission']"
http://ar-sherwood.civicplus.com/AgendaCenter,1948,2020,civicplus,TRUE,Sherwood,AR,USA,Municipality,"['Board of Adjustment', 'City Council', 'Ordinances', 'Personnel Committee', 'Planning Commission', 'test']"
http://ar-siloamsprings.civicplus.com/AgendaCenter,2013,2020,civicplus,TRUE,Siloam Springs,AR,USA,Municipality,"['Board of Adjustment', 'Board of Directors', 'Planning Commission']"
http://ar-springdale.civicplus.com/AgendaCenter,1899,2020,civicplus,TRUE,Springdale,AR,USA,Municipality,"['Airport Commission', 'City Council', 'City Council Committee', 'Civil Service Commission', 'Housing Authority', 'Planning Commission', 'Public Facilities Board', 'SFD Emergency Medical Services Committee', 'SFD Fitness Committee', 'SFD Senior Staff Meeting', 'SFD Strategic Planning Committee', 'SFD Technical Rescue Committee', 'Shiloh Museum Board', 'Traffic Committee', 'Trails Committee', 'Water & Sewer Commission']"
http://ar-vanburen.civicplus.com/AgendaCenter,2015,2020,civicplus,TRUE,Van Buren,AR,USA,Municipality,['Council Agenda and Minutes']
http://az-bisbee.civicplus.com/AgendaCenter,2014,2020,civicplus,TRUE,Bisbee,AZ,USA,Municipality,['City Council']
http://az-blackstoneatvistancia.civicplus.com/AgendaCenter,2018,2020,civicplus,TRUE,Blackstone at Vistancia,AZ,USA,Other,['Blackstone at Vistancia Board of Directors']
http://az-carefree.civicplus.com/AgendaCenter,2012,2020,civicplus,TRUE,Carefree,AZ,USA,Municipality,"['Advisory Committee', 'Board of Adjustment', 'Carefree Water Company Board', 'Development Review Board', 'Planning & Zoning Commission', 'Town Council']"
http://az-chinovalley.civicplus.com/AgendaCenter,2012,2020,civicplus,TRUE,Chino Valley,AZ,USA,Municipality,"['Town Council', 'Appointments Subcommittee (Council)', 'Board of Adjustment', 'Economic Development Subcommittee (Council)', 'Finance Subcommittee (Council)', 'Industrial Development Authority', 'Miscellaneous Public Meetings', 'Municipal Property Corporation', 'Parks & Recreation Advisory Board', 'Planning & Zoning Commission', 'Program Review Subcommittee (Council)', 'Public Safety Retirement Board', 'Public Safety Subcommittee (Council)', ""Recreation Committee (Mayor's Ad Hoc)"", 'Roads & Streets Committee', 'Senior Center Advisory Board', 'Town Manager Recruitment Subcommittee (Council)', 'UDO Update Subcommittee (Council)', 'Water & Utilities Subcommittee (Council)']"
http://az-coconinocounty.civicplus.com/AgendaCenter,1989,2020,civicplus,TRUE,Coconino County,AZ,USA,County,"['Resolutions', 'African Diaspora Advisory Council', 'Bellemont Area Plan Update Committee', 'Board of Supervisors Agendas, Minutes, and Packets', 'Coconino County Hispanic Advisory Council', 'Community Action Advisory Board', 'Community Development Advisory Group', 'Comprehensive Plan Committee', 'Criminal Justice Coordinating Council', 'Doney Park Timberline Fernwood Area Plan Update Committee', 'Emergency Declarations and Emergency Proclamations', 'Indigenous Peoples Advisory Council', 'Ordinances', 'Parks and Recreation Commission', 'Planning and Zoning Commission and Board of Adjustment', 'Workforce Development Board']"
http://az-cottonwood.civicplus.com/AgendaCenter,2013,2020,civicplus,TRUE,Cottonwood,AZ,USA,Municipality,"['Airport Commission', 'Alternate Pension & Benefit Trust', 'Board of Adjustment', 'Historic Preservation Commission', 'Industrial Development Authority', 'Library Advisory Board', 'Municipal Property Corporation', 'Parks & Recreation Commission', 'Personnel Board', 'Planning & Zoning Commission', 'Public Safety & Personnel Board', 'Youth Advisory Commission']"
http://az-douglas.civicplus.com/AgendaCenter,2013,2020,civicplus,TRUE,Douglas,AZ,USA,Municipality,"['Charter Review Committee', 'City Council', 'City Youth Council', 'Design Review Board', 'Douglas Airport Authority Board', 'Douglas Community Housing Corporation', 'Douglas Housing Corporations I & II', 'Finance Committee', 'Industrial Development Authority', 'Library Committee', 'Local Pension Board - Fire', 'Local Pension Board - Police', 'Merit System Board', 'Municipal Property Corporation', 'Municipal Property Corporation - Golf Course', 'Personnel Appeals Board', 'Planning and Zoning Commission', 'Steering Commitee', 'Training Group', 'Transit Advisory Committee', 'Youth Activities']"
http://az-eloy.civicplus.com/AgendaCenter,2011,2019,civicplus,TRUE,Eloy,AZ,USA,Municipality,"['Board of Adjustments', 'Building Code Board of Appeals', 'Cemetery Board', 'City Council', 'Downtown Advisory Commission', 'Housing Authority Board', 'Library Advisory Board', 'Municipal Airport Advisory Board', 'Pension Board', 'Planning & Zoning Commission', 'Public Notices']"
http://az-flagstaff2.civicplus.com/AgendaCenter,2017,2017,civicplus,TRUE,Flagstaff,AZ,USA,Municipality,['Commission on Diversity Awareness']
http://az-fountainhills.civicplus.com/AgendaCenter,2012,2020,civicplus,TRUE,Fountain Hills,AZ,USA,Municipality,"['Board of Adjustment', 'Community Services Advisory Commission', 'Cottonwoods Maintenance District', 'Eagle Mountain Community Facilities District', 'McDowell Mountain Preservation Commission', 'Municipal Property Corporation', 'Planning and Zoning Commission', 'Sister Cities Advisory Commission', 'Strategic Planning Advisory Commission', 'Town Council', 'Town Council Subcommittee']"
http://az-gilabend2.civicplus.com/AgendaCenter,2017,2020,civicplus,TRUE,Gilabend,AZ,USA,Municipality,"['Council Action Minutes', 'Council Meeting Agendas', 'Planning and Zoning Commission', 'Planning and Zoning Commission Action Minutes']"
http://az-grahamcounty.civicplus.com/AgendaCenter,2015,2020,civicplus,TRUE,Graham County,AZ,USA,County,"['Board of Supervisors', 'Planning &  Zoning Commission', 'Victim Compensation Board']"
http://az-grayhawkcommunityassociation.civicplus.com/AgendaCenter,2017,2020,civicplus,TRUE,Grayhawk Community Association,AZ,USA,Other,"['Grayhawk Community Association Board of Directors', 'Retreat Village Association Board of Directors']"
http://az-lapazcounty.civicplus.com/AgendaCenter,2010,2020,civicplus,TRUE,Lapaz County,AZ,USA,County,"['Board of Supervisors', 'Board of Adjustment', 'Parks & Recreation Advisory Commission', 'Personnel Appeals Board', 'Planning and Zoning Commission', 'Public Safety Personnel Retirement System', 'Victim Compensation Board']"
http://az-litchfieldpark.civicplus.com/AgendaCenter,2018,2020,civicplus,TRUE,Litchfield Park,AZ,USA,Municipality,"['Board of Adjustment', 'Design Review Board', 'Planning and Zoning Commission', 'Recreation and Public Grounds Commission']"
http://az-maricopacounty.civicplus.com/AgendaCenter,2006,2020,civicplus,TRUE,Maricopa County,AZ,USA,County,"['Air Pollution Hearing Board', 'Alliance for Children & Youth With Unique Challenges', 'Benefit Board of Trustees', 'Board of Adjustment/Drainage Review Board', 'Board of Health', 'Building Code Advisory Board', 'Citizen County Attorney Selection Review Committee', 'Citizens Audit Advisory Committee', 'Community Development Advisory Committee', 'Community Services Commission', 'Drainage Review Board', 'Early Education Division Policy Council', 'Environmental Services Department Standards Committee', 'Flood Control Advisory Board', 'Flood Control District Stakeholder Group', 'Flood Control General Public Meetings', 'HOME Consortium', 'Local Emergency Planning Committee (MCLEPC)', 'MCSO Correctional Officer Retirement Plan (CORP) Local Board', 'MCSO Public Safety Personnel Retirement System (PSPRS) Local Board', 'Merit Systems Commission', 'Mining District', 'Nurse-Family Partnership (NFP) Community Advisory Board', ""Planning & Development items for the Board of Supervisors' agenda"", 'Planning & Zoning Commission', 'Ryan White Planning Council', 'Ryan White Planning Council - Community Health Planning & Strategies (CHPS) Committee', 'Ryan White Planning Council - Executive Committee', 'Ryan White Planning Council – Standards and Rules (STAR) Committee', 'Ryan White Planning Council - Training, Education & Membership Committee', 'Smart Savings Committee (Deferred Compensation)', 'Transportation Advisory Board']"
http://az-maricopacountyattorney.civicplus.com/AgendaCenter,2016,2020,civicplus,TRUE,Maricopa County Attorney,AZ,USA,County,['Victim Compensation Board']
http://az-pinetoplakeside.civicplus.com/AgendaCenter,1899,2020,civicplus,TRUE,Pinetop Lakeside,AZ,USA,Municipality,"['Advertising & Promotion Committee', 'Board of Adjustment', ""Mayor's Youth Advisory Committee"", 'Municipal Property Corporation', 'Planning & Zoning Commission', 'Public Safety Personnel Retirement System', 'Town Council']"
http://az-powerranchcommunityassociation.civicplus.com/AgendaCenter,2019,2020,civicplus,TRUE,Power Ranch Community Association,AZ,USA,Other,"['Board of Directors', 'Knolls Committee', 'Landscape Committee', 'Villages Committee']"
http://az-prescottvalley.civicplus.com/AgendaCenter,1899,2020,civicplus,TRUE,Prescott Valley,AZ,USA,Municipality,"['Arts & Culture', 'Board and Commission Selection Committee', 'Board of Adjustment', 'Board of Appeals', 'Library Trustees', 'Municipal Property Corporation', 'Parks and Recreation Commission', 'Personnel Board', 'Planning & Zoning', 'Public Safety Personnel Retirement System']"
http://az-safford.civicplus.com/AgendaCenter,2012,2020,civicplus,TRUE,Safford,AZ,USA,Municipality,"['Council Meeting Agendas and Minutes', 'Library Board Agendas', 'Pride of Safford Committee', 'PSPRS (Public Safety Personnel Retirement System)', 'RAGHT(Rural Arizona Group Health Trust)']"
http://az-sanluis.civicplus.com/AgendaCenter,2012,2016,civicplus,TRUE,San Luis,AZ,USA,Municipality,"['Building Board of Appeals', 'City Council Public Meetings', 'City Council Regular Meetings', 'City Council Special Meetings', 'City Council Work Sessions', 'Hearing Officer Public Meetings', 'Planning and Zoning Commission', 'San Luis Economic Development Commission']"
http://az-santacruzcounty.civicplus.com/AgendaCenter,2012,2020,civicplus,TRUE,Santa Cruz County,AZ,USA,County,"['Board of Supervisors', 'Crime Victim Compensation Claims Board', 'District 1 Board of Adjustment', 'District 2 Board of Adjustment', 'District 3 Board of Adjustment', 'Flood Control District Ordinance Advisory Committee', 'Local Emergency Planning Committee', 'Planning & Zoning Commission']"
http://az-showlow.civicplus.com/AgendaCenter,2009,2020,civicplus,TRUE,Showlow,AZ,USA,Municipality,"['Aviation Advisory Committee', 'Board of Adjustment', 'Industrial Development Authority', 'Municipal Property Corporation', 'Northeast Arizona Regional Dispatch Center Governing Board', 'Parks and Recreation Advisory Committee', 'Public Safety Personnel Retirement System Board', 'Show Low Bluff Community Facilities District Board']"
http://az-surprise.civicplus.com/AgendaCenter,2011,2020,civicplus,TRUE,Surprise,AZ,USA,Municipality,"['Arts & Cultural Advisory Commission', 'Board of Trustees', 'Capital Improvement Funding Exploratory Committee', 'Honoring an Exceptional Leader Task Force', 'Judicial Selection Advisory Commission', 'Municipal Property Corporation Board', 'Parks & Recreation Advisory Commission', 'Personnel Appeals Board', 'Public Safety Retirement Commission']"
http://az-villageatvistancia.civicplus.com/AgendaCenter,2004,2020,civicplus,TRUE,Village at Vistancia,AZ,USA,Other,"['Activities Committee', 'Budget Advisory Committee', 'Communications Committee', 'Design Review Committee', 'Landscape Committee', 'Neighborhood Advisory Committee (NAC)', 'Parcels A28 - A29 Board of Directors', 'Vistancia Village A Annual Meetings', 'Vistancia Village A Board of Directors']"
http://bc-highlands.civicplus.com/AgendaCenter,2012,2020,civicplus,TRUE,Highlands,BC,CANADA,Municipality,"['Council', 'Council - Committee of the Whole', 'Heritage Select Committee', 'Social Sustainability Select Committee', 'Sustainable Land Use Select Committee']"
http://bc-mapleridge.civicplus.com/AgendaCenter,2004,2020,civicplus,TRUE,Maple Ridge,BC,CANADA,Municipality,"['City Council', 'Closed Council Notice of Meeting', 'Committee of the Whole', 'Council Workshop', 'Public Hearing', 'Advisory Design Panel', 'Agricultural Advisory Committee', 'Audit and Finance Committee', 'Community Heritage Commission', 'Economic Development Committee', 'Environmental Advisory Committee', 'Municipal Advisory Committee on Accessibility and Inclusiveness', 'Public Art Steering Committee', 'Social Policy Advisory Committee', 'Transportation Advisory Committee']"
http://bc-nelson.civicplus.com/AgendaCenter,2014,2019,civicplus,TRUE,Nelson,BC,CANADA,Municipality,['Police Board']
http://bc-salmonarm.civicplus.com/AgendaCenter,2013,2019,civicplus,TRUE,Salmon Arm,BC,CANADA,Municipality,"['Council Agenda Packages', 'Development & Planning Agenda Packages']"
http://bc-whiterock.civicplus.com/AgendaCenter,2014,2020,civicplus,TRUE,White Rock,BC,CANADA,Municipality,"['City Council', 'Advisory Design Panel', 'All Abilities Playground Committee', 'Arts & Cultural Advisory Committee', 'August Contract Committee', 'Board of Variance Committee', 'COVID-19 Recovery Task Force', 'Dogs on the Promenade Task Force', 'Economic Development Advisory Committee', 'Environmental Advisory Committee', 'External Communications Review Sub-Committee', 'Finance & Audit Committee', 'Gateway Feature Selection Committee', 'Governance & Legislation Committee', 'Grants-in-Aid Committee', 'History and Heritage Advisory Committee', 'Housing Advisory Committee', 'Intergovernmental and First Nation Affairs Committee', 'Intergovernmental Committee', 'Land Use & Planning Committee', 'Marine Drive Task Force', 'Memorial Park Committee', 'Outstanding Canadians on the Peninsula Committee', 'Parcel Tax Roll Review', 'Parking Task Force', 'Public Art Advisory Committee', 'Rental Housing Task Force', 'Seniors Advisory Committee', 'Tour de White Rock Committee', 'Water Community Advisory Panel', 'White Rock Sea Festival Committee']"
http://ca-adelanto.civicplus.com/AgendaCenter,2013,2016,civicplus,TRUE,Adelanto,CA,USA,Municipality,"['City Council', 'Oversight Board', 'Planning Commission']"
http://ca-alamedacountywater.civicplus.com/AgendaCenter,2012,2020,civicplus,TRUE,Alameda County Water District,CA,USA,County,"['Board of Directors', 'Engineering and Information Technology Services', 'Finance', 'Legal, Intergovernmental, and Community Affairs', 'Operations and Water Quality', 'Water Resources and Conservation']"
http://ca-alpinecounty.civicplus.com/AgendaCenter,2011,2020,civicplus,TRUE,Alpine County,CA,USA,County,"['Audit and Finance Committee', 'Economic Development Advisory Committee', 'Heritage Tourism Commission', 'Historical Records Commission', 'Library Commission', 'Local Agency Formation Commission Meetings', 'Markleeville Design Review / Historic Committee Meetings', 'Planning Commission Meetings', 'STPUD Contract Commission', 'Technical Advisory Committee Meetings', 'Tri-County Technical Advisory Committee Meetings']"
http://ca-anaheim.civicplus.com/AgendaCenter,2011,2020,civicplus,TRUE,Anaheim,CA,USA,Municipality,"['Budget, Investment & Technology', 'Community Services Board', 'Cultural & Heritage Commission', 'Homeless Policy Working Group', 'Housing & Community Development Commission', 'Joint Special Meeting of Anaheim Boards and Commissions', 'Library Board', ""Mayor's Task Force - Welcoming Anaheim Initiative"", 'OCCHMERA Advisory Committee', 'OCCHMERA Board of Directors', 'Oversight Board-Successor Agency', 'Parks and Recreation Commission', 'Planning Commission', 'Police Review Board', 'Public Safety Board', 'Public Utilities Board', 'Senior Commission', 'Sister City Commission', 'Workforce Development Board', 'Youth Commission']"
http://ca-arroyogrande.civicplus.com/AgendaCenter,2011,2020,civicplus,TRUE,Arroyo Grande,CA,USA,Municipality,"['City Council', 'Architectural Review Committee', 'Community Service Grant Committee', 'Downtown Parking Advisory Board', 'Oversight Board to Successor Agency', 'Planning Commission', 'Public Art Panel', 'Tourism Business Improvement District Advisory Board']"
http://ca-artesia.civicplus.com/AgendaCenter,2011,2020,civicplus,TRUE,Artesia,CA,USA,Municipality,"['Beautification & Maintenance Commission', 'City Council', 'Eco-Rapid Transport Board', 'Parks & Recreation Commission', 'Planning Commission', 'Public Safety Commission']"
http://ca-avenal.civicplus.com/AgendaCenter,2013,2020,civicplus,TRUE,Avenal,CA,USA,Municipality,"['City Council', 'Planning Commission', 'San Joaquin Valley Water Infrastructure Authority']"
http://ca-bbldwp.civicplus.com/AgendaCenter,2012,2020,civicplus,TRUE,Big Bear Lake Department of Water & Power,CA,USA,Municipality,"['Board Meetings', 'Committee Meetings, Workshops, and Meetings with City Council', 'Groundwater Sustainability Agency']"
http://ca-belvedere.civicplus.com/AgendaCenter,2010,2020,civicplus,TRUE,Belvedere,CA,USA,Municipality,"['City Council', 'Belvedere Block Captains Program Committee', ""Citizens' Flood Zone Committee"", ""Committee to Protect Belvedere's Seawalls, Levees, and Utilties"", 'Finance Committee', 'Floodplain Analysis Committee', 'Historic Preservation Committee', 'Parks & Open Space Committee', 'Planning Commission', 'Traffic Safety & Circulation Committee']"
http://ca-blythe.civicplus.com/AgendaCenter,2014,2020,civicplus,TRUE,Blythe,CA,USA,Municipality,['City Council']
http://ca-campbell.civicplus.com/AgendaCenter,2001,2020,civicplus,TRUE,Campbell,CA,USA,Municipality,"['City Council', 'City Council Subcommittee Agendas and Minutes', 'Civic Improvement Commission Subcommittee Agendas', 'Oversight Board for Successor Agency', 'Administrative Hearings', 'Bicycle & Pedestrian Advisory Committee', 'Building Board of Appeals', 'Civic Improvement Commission', 'General Plan Advisory Committee', 'Historic Preservation Board', 'Parks & Recreation Commission', 'Planning Commission ', 'Rental Increase Fact Finding Committee', 'Site and Architectural Review Committee', 'Youth Commission', 'Youth Engagement Steering Committee']"
http://ca-ceres.civicplus.com/AgendaCenter,2014,2020,civicplus,TRUE,Ceres,CA,USA,Municipality,"['City Council', ""Measure H Citizens' Oversight Committee"", 'Oversight Board - Ceres Redevelopment Agency (CRA)', 'Oversight Board - Stanislaus-Ceres Redevelopment Commission (SCRC)', 'Planning Commission', 'Successor Agency - Ceres Redevelopment Agency (CRA)', 'Successor Agency - Stanislaus-Ceres Redevelopment Commission (SCRC)']"
http://ca-chinobasinwaterdistrict.civicplus.com/AgendaCenter,2012,2020,civicplus,TRUE,Chino Basin Water District,CA,USA,Other,['Board of Directors']
http://ca-chinodesalter.civicplus.com/AgendaCenter,2011,2020,civicplus,TRUE,Chino Basin Desalter Authority,CA,USA,Other,"['Board of Directors Agendas & Minutes', 'Finance Committee Agendas & Minutes', 'Technical Advisory Committee']"
http://ca-chinovalleyifd.civicplus.com/AgendaCenter,2013,2020,civicplus,TRUE,Chino Valley Fire District,CA,USA,Other,"['Chino Valley Fire District Board Agendas & Minutes', 'Chino Valley Fire District Finance Committee Agendas & Minutes', 'Chino Valley Fire District Human Resources Committee Agendas & Minutes', 'Chino Valley Fire District Planning Committee Agendas & Minutes', 'Chino Valley Fire District Section 115 Trust Investment Committee', 'CONFIRE']"
http://ca-chowchilla.civicplus.com/AgendaCenter,2015,2020,civicplus,TRUE,Chowchilla,CA,USA,Municipality,"['City Council', 'Airport Advisory Committee', 'Planning Commission', 'Public Safety Sales Tax Oversight Committee', 'Redevelopment Successor Agency Oversight Board (Former)']"
http://ca-citrusheights.civicplus.com/AgendaCenter,2013,2020,civicplus,TRUE,Citrus Heights,CA,USA,Municipality,"['Citrus Heights City Council Meetings', 'Citrus Heights Collaborative', 'Citrus Heights Planning Commission Meetings', 'Neighborhood Association Area 1 Northwest', 'Neighborhood Association Area 10 Sylvan Old Auburn Road', 'Neighborhood Association Area 11 Birdcage Heights', 'Neighborhood Association Area 2 Rusch Park', 'Neighborhood Association Area 3 CHANT', 'Neighborhood Association Area 4 Arcade Creek', 'Neighborhood Association Area 5 Park Oaks', 'Neighborhood Association Area 6 Sunrise Ranch', 'Neighborhood Association Area 7 & 8 CHASE', 'Neighborhood Association Area 9 Sunrise Oaks', 'REACH Board Meetings']"
http://ca-clearlake.civicplus.com/AgendaCenter,2013,2020,civicplus,TRUE,Clearlake,CA,USA,Municipality,"['City Council', 'Clearlake Marketing Committee', 'Measure V Oversight Committee', 'Oversight Board', 'Planning Commission']"
http://ca-cloverdale.civicplus.com/AgendaCenter,2011,2020,civicplus,TRUE,Cloverdale,CA,USA,Municipality,"['City Council', 'City/Cloverdale Citrus Fair Association', 'Finance, Administration, & Police Subcommittee', 'Joint City/Cloverdale Fire District', 'Planning and Sustainability Subcommittee', 'Planning Commission', 'Public Works Subcommittee', 'School Subcommittee']"
